second,duration,transcript
0.03,5.069,Data science is not about making complicated models. It's not about making awesome visualizations
5.41,7.399,It's not about writing code data science is about using data to create as much impact as possible for your company
13.09,2.899,Now impact can be in the form of multiple things
15.99,6.539,It could be in the form of insights in the form of data products or in the form of product recommendations for a company
22.779,7.1,"Now to do those things, then you need tools like making complicated models or data visualizations or writing code"
30.13,2.33,But essentially as a data scientist
32.71,6.86,your job is to solve real company problems using data and what kind of tools you use we don't care
42.879,3.83,"Now there's a lot of misconception about data science, especially on YouTube"
46.71,4.41,and I think the reason for this is because there's a huge misalignment between
51.489,6.29,what's popular to talk about and what's needed in the industry. So because of that I want to make things clear. I
58.39,3.319,am a data scientist working for a GAFA company and
62.17,4.97,those companies really emphasize on using data to improve their products
67.14,3.36,So this is my take on what is data science
81.27,7.31,"Before data science, we popularized the term data mining in an article called from data mining to knowledge discovery in databases in"
89.22,6.139,1996 in which it referred to the overall process of discovering useful information from data
96.179,4.4,"In 2001, William S. Cleveland wanted to bring data mining to another level"
100.649,3.62,He did that by combining computer science with data mining
104.7,0.5,Basically
105.2,7.65,He made statistics a lot more technical which he believed would expand the possibilities of data mining and produce a powerful force for innovation
113.22,7.309,Now you can take advantage of compute power for statistics and he called this combo data science. Around this time
120.53,7.83,"this is also when web 2.0 emerged where websites are no longer just a digital pamphlet, but a medium for a shared experience"
128.94,2.0,amongst millions and millions of users
131.4,2.779,These are web sites like MySpace in 2003
134.489,5.45,Facebook in 2004 and YouTube in 2005. We can now interact with these web sites
140.22,3.109,meaning we can contribute post comment like upload share
143.88,6.589,leaving our footprint in the digital landscape we call Internet and help create and shape the ecosystem
150.47,3.059,we now know and love today. And guess what?
153.53,7.41,"That's a lot of data so much data, it became too much to handle using traditional technologies. So we call this Big Data."
161.609,3.35,That opened a world of possibilities in finding insights using data
164.97,6.889,But it also meant that the simplest questions require sophisticated data infrastructure just to support the handling of the data
172.26,4.56,"We needed parallel computing technology like MapReduce, Hadoop, and Spark"
176.94,2.0,so the rise of big data in
179.04,7.639,2010 sparked the rise of data science to support the needs of the businesses to draw insights from their massive unstructured data sets
186.989,6.38,So then the journal of data science described data science as almost everything that has something to do with data
193.829,6.8,Collecting analyzing modeling. Yet the most important part is its applications. All sorts of applications.
201.09,2.899,"Yes, all sorts of applications like machine learning"
204.58,3.119,So in 2010 with the new abundance of data
207.7,3.52,it made it possible to train machines with a data-driven approach
211.48,7.72,rather than a knowledge driven approach. All the theoretical papers about recurring neural networks support vector machines became feasible
219.58,4.02,Something that can change the way we live and how we experience things in the world
223.79,4.309,Deep learning is no longer an academic concept in these thesis paper
228.32,5.539,It became a tangible useful class of machine learning that would affect our everyday lives
233.86,6.539,So machine learning and AI dominated the media overshadowing every other aspect of data science
240.4,2.0,"like exploratory analysis,"
242.68,4.52,"experimentation, ... And skills we traditionally called business intelligence"
247.58,3.16,So now the general public think of data science as
