second,duration,transcript
6.72,4.16,welcome to day two
8.88,4.639,we've talked a lot so far about the
10.88,4.08,impact of research on society
13.519,3.281,on the collective
14.96,3.92,but of course the collective is really a
16.8,3.6,collection of individuals
18.88,4.239,this morning we'll take a look at the
20.4,4.16,human side of technology at individual
23.119,3.761,experiences
24.56,4.24,we see a need for increased focus on
26.88,4.0,creating technologies that can meet us
28.8,4.56,where we are as individuals wherever
30.88,5.359,that happens to be in terms of identity
33.36,4.719,ability or societal context
36.239,3.441,this brings us to the field of human
38.079,3.441,computer interaction
39.68,4.0,one of microsoft's longest standing
41.52,4.64,research areas which has led to things
43.68,4.8,like connect smart assistance and many
46.16,4.399,other innovative technologies
48.48,5.04,it's now my pleasure to introduce one of
50.559,4.801,the pioneers in the field mary serwinski
53.52,4.16,to share some of the latest work to make
55.36,3.44,our interactions with technology more
57.68,5.12,natural
58.8,4.0,more intuitive and more empowering
65.28,4.879,human computer interaction or hci is a
68.24,2.96,critical part of the design of computing
70.159,2.721,systems
71.2,4.08,it has formerly been around as a field
72.88,4.08,since the 1960s though of course the
75.28,3.12,study of human factors predates that
76.96,3.12,time period
78.4,3.92,most technology companies that care
80.08,4.48,about their users have hci researchers
82.32,4.479,as part of their product design process
84.56,3.76,so it made sense that microsoft research
86.799,3.761,which pushes ahead of the product teams
88.32,4.56,by several years would also incorporate
90.56,4.239,hci researchers as new systems are
92.88,3.919,invented and evaluated before they are
94.799,3.921,released to the public i happen to be
96.799,4.96,the first social scientist hired into
98.72,5.52,microsoft research back in 1996 or so
101.759,4.72,today my latest count shows over 70 phd
104.24,4.32,scientists that identify as hci
106.479,3.521,researchers worldwide in microsoft
108.56,4.16,research
110.0,4.64,hci deals with the design execution and
112.72,3.6,assessment of computer systems and
114.64,2.56,related phenomenon that are for human
116.32,2.56,use
117.2,3.44,the goal of the discipline is to make
118.88,4.879,sure that the technologies we develop
120.64,4.96,are useful usable safe and enjoyable to
123.759,3.68,interact with for all people so that
125.6,3.999,humans can achieve their tasks whether
127.439,4.961,that's to get work done learn be
129.599,4.961,creative communicate or just play
132.4,4.08,in order to fulfill these goals tech
134.56,3.84,companies must attempt to
136.48,3.28,understand how people use technologies
138.4,2.32,and build systems based on that
139.76,3.839,knowledge
140.72,4.96,design or invent efficient effective and
143.599,3.441,safe interaction techniques for using
145.68,4.0,new systems
147.04,4.72,and put people first people's needs
149.68,4.4,capabilities and preferences should come
151.76,3.759,before the technology the new technology
154.08,4.0,invented should be designed to meet
155.519,4.161,users needs and requirements first not
158.08,3.2,the other way around
159.68,3.52,why is this important
161.28,3.599,a good user interface can improve
163.2,3.92,financial outcomes because the
164.879,4.801,experience can increase users loyalty
167.12,4.8,trust and make users happy ensuring
169.68,4.08,continued interaction with the system
171.92,3.92,we know this first hand on my team
173.76,3.839,because we study user emotion and we can
175.84,3.92,see happiness go up when interactions
177.599,4.72,with software allows user to get their
179.76,4.24,work done more effectively for example
182.319,3.521,we've seen evidence that users smile
184.0,3.68,significantly more often when good
185.84,3.44,search results come back quickly and
187.68,2.88,users don't have to reformulate their
189.28,3.12,search queries
190.56,3.36,happy users come back to use software
192.4,3.6,that pleases them
193.92,3.679,most hci researchers come from a varied
196.0,2.48,background of multi-disciplinary and
197.599,3.441,training
198.48,5.119,including computer science obviously
201.04,4.559,psychology because it studies people and
203.599,3.28,application of theories and methods
205.599,3.28,sociology for understanding
206.879,4.881,computer-mediated technology and
208.879,4.401,organizations and even industrial design
211.76,5.68,for the design of interactive products
213.28,6.879,like cars laptops mobile phones etc as
217.44,4.56,technology evolves ever more rapidly
220.159,2.881,human cognition remains relatively
222.0,3.36,stable
223.04,4.0,it's important now more than ever to
225.36,4.08,ensure that humans can use and
227.04,4.96,understand the design of new systems as
229.44,4.48,they emerge especially with the advent
232.0,4.959,of newly automated systems like
233.92,6.0,self-driving cars robots and telehealth
236.959,4.56,how do we as a society leverage hci to
239.92,4.879,ensure that these systems are designed
241.519,5.28,for human safety comfort and well-being
244.799,3.921,to that end let's take a tour of some of
246.799,4.881,the labs and researchers we have at msr
248.72,4.64,microsoft research working in hci i'm
251.68,3.759,super excited to give you a mini tour of
253.36,3.599,hci in the redmond labs here in building
255.439,3.681,99
256.959,3.201,first we're going to meet mar gonzalez
259.12,2.56,franco
260.16,3.68,mar is a principal researcher with the
261.68,3.6,epic research group she wonders what
263.84,3.68,spatial computing can tell us about
265.28,3.76,human behavior and how we can expand
267.52,3.04,digital content for immersive
269.04,3.2,experiences
270.56,3.52,beyond helping to create new ways of
272.24,4.399,experiencing technology through virtual
274.08,4.8,and augmented reality mars work explores
276.639,4.201,how new devices and technologies impact
278.88,3.52,our perception and
280.84,3.96,behavior
282.4,4.56,i'm margunthalet franco and this is the
284.8,4.32,epic lab the standard perception
286.96,4.959,interaction and cognition lab what we do
289.12,5.04,here is we explore the digital content
291.919,5.121,around us and we try to implement new
294.16,5.2,sensory abilities to it so that means we
297.04,4.96,studied very deeply perception
299.36,5.279,and we studied the behaviors that come
302.0,4.56,with the perception that we produce with
304.639,3.361,the new devices
306.56,4.079,so you might think perception and
308.0,3.44,behavior are very far apart it's a big
310.639,2.801,leap
311.44,4.08,but the truth is not and i think
313.44,4.479,studying behavior with understanding
315.52,4.48,perception is just missing part of it
317.919,4.641,because perception how we perceive the
320.0,4.96,world is going to change how we behave
322.56,4.8,and the ecological way to explore how
324.96,4.88,our prototypes are going to affect the
327.36,5.92,lives of millions when they go out
329.84,6.56,uh is to study both together
333.28,5.52,we're humans are visual animals right
336.4,4.799,it's been traditionally our method of
338.8,3.6,displaying information for
341.199,2.881,um
342.4,2.88,digital content it's been through
344.08,3.52,screens
345.28,5.04,and through bissell but
347.6,4.96,we are multi-sensory animals and we have
350.32,4.159,evolved to have multi-sensory
352.56,3.84,experiences which are far more
354.479,3.921,fulfilling
356.4,4.4,for example
358.4,4.16,audio is
360.8,4.959,we have more precision with audio
362.56,6.56,sometimes on a spatial because we our
365.759,5.44,eyes only look forward and audio is you
369.12,4.24,know all around us so we can hear things
371.199,4.081,that are on our back but we cannot see
373.36,5.04,things that are on our backs so it's
375.28,5.759,clearly something that we can enhance
378.4,4.56,our experiences with devices if we think
381.039,3.681,on a holistic way
382.96,3.2,what are the different sensors that
384.72,3.599,humans have
386.16,4.24,so you might ask why is this important
388.319,4.801,now right computers have been here for a
390.4,4.48,while and i think there's been a change
393.12,3.44,in paradigm in how we understand
394.88,3.92,computing
396.56,5.199,until now we had the screens in front of
398.8,4.959,us digital content was inside
401.759,5.681,more recently we're seeing a lot of
403.759,5.84,spatial computing devices that render
