second,duration,transcript
0.0,4.319,over the past few months a lot of people
2.28,4.74,have asked me about the creative process
4.319,4.681,behind my videos like what software I
7.02,4.26,use and how some particular animations
9.0,4.62,were brought to life this is why I
11.28,3.6,decided to make a dedicated video where
13.62,3.659,I would share with you some of my
14.88,4.62,secrets and use animations from my
17.279,4.321,previous videos as illustrative examples
19.5,6.26,just to walk you through how they were
21.6,4.16,done if you're interested stay tuned
31.439,3.96,before we dive deeper into the
33.059,4.561,animations themselves let me address one
35.399,4.98,of the most common questions I get and
37.62,4.86,that is what software do I use here's
40.379,4.261,the thing unfortunately there is no
42.48,5.04,ultimate tool that will help you create
44.64,5.16,a video from start to finish instead
47.52,4.26,every software is made for specific
49.8,3.3,purposes and thus has its own
51.78,3.66,limitations
53.1,5.099,that's why my workflow is almost always
55.44,5.16,some combination of many programs and
58.199,4.68,packages that I use depending on the
60.6,4.32,problem at hand so I've prepared the
62.879,4.681,whole list of software that I use in
64.92,5.22,video production and when exactly I use
67.56,5.76,each of them starting with Adobe After
70.14,4.62,Effects this is my main Workhorse that I
73.32,4.02,use for the majority of simple
74.76,4.98,animations as well as for composing the
77.34,5.34,results of other programs into the final
79.74,5.28,video to me after effects offers an
82.68,4.079,optimal balance between capabilities and
85.02,4.86,usability I don't really need to create
86.759,5.281,any realistic explosions key in fancy
89.88,4.32,color correction 3D tracking or anything
92.04,4.56,like that for this purpose there are
94.2,4.8,other dedicated applications much more
96.6,4.44,powerful than After Effects but using
99.0,4.56,them for simpler stuff would be an
101.04,5.52,Overkill like trying to cut a paper with
103.56,5.28,a chainsaw for example I can create the
106.56,5.28,text stylize it to globe with gradient
108.84,5.4,make it appear on the screen add an
111.84,5.76,image that would pop up wiggle around
114.24,5.699,and gradually change its Hue and finally
117.6,5.519,make a smooth transition out of the
119.939,6.121,scene within just a few clicks
123.119,4.801,number two python now this is where
126.06,4.38,things get interesting unfortunately
127.92,4.38,scripting in After Effects is not as
130.44,4.08,powerful as convenient as compared to
132.3,5.22,some other programs yes technically
134.52,5.04,there is a JavaScript API but honestly I
137.52,3.6,found it to be quite unusable and there
139.56,2.88,is only so much you can do without
141.12,3.6,scripting
142.44,3.78,create a pair of circles that would
144.72,4.2,wiggle around while always being
146.22,5.4,connected by a line easy
148.92,5.039,but creating a hundred of such circles
151.62,4.259,and lines that would form a wiggling
153.959,3.78,graph with specified properties
155.879,3.901,optimally positioned in a
157.739,3.181,two-dimensional space is pretty much
159.78,2.7,impossible
160.92,3.48,this is why when I need to create
162.48,4.979,something that can't really be done by
164.4,4.44,hand I have to rely on other tools that
167.459,3.601,would allow me to make visualizations
168.84,4.5,programmatically taking advantage of
171.06,5.039,mathematical functions heavy numerical
173.34,4.56,calculations variables Loops recursion
176.099,3.901,stuff like that typically I do
177.9,3.66,everything in Python since this is the
180.0,4.08,programming language I'm most familiar
181.56,4.8,with and it has a few great modules for
184.08,3.96,creating visualizations but hey if you
186.36,4.739,have a lot of experience in other
188.04,5.04,languages like C plus or Julia and would
191.099,3.901,strongly prefer to use them instead
193.08,4.92,there are some really great solutions
195.0,5.34,for them as well the choice of the exact
198.0,4.86,tool doesn't really matter anyway in my
200.34,4.44,work I mostly use two python packages
202.86,3.959,the first one is called many it was
204.78,4.44,originally developed by Grand Sanderson
206.819,3.961,also known as three blue and brown who
209.22,3.9,I'm sure most of you have heard about
210.78,4.319,today there is a rapidly developing
213.12,4.56,version of many maintained by the
215.099,4.381,community I've used it extensively in my
217.68,4.32,earlier videos for all sorts of
219.48,4.08,mathematical animations but I just kept
222.0,3.959,bumping into things that I couldn't
223.56,4.739,Implement in manim for example drawing
225.959,4.92,gradient lines colored by coordinate
228.299,5.101,Plus at times I found the workflow to be
230.879,4.86,tedious and not really intuitive this is
233.4,4.74,why about 10 months ago I gradually
235.739,4.86,began to switch to another visualization
238.14,4.2,module called matplotlib I'm sure most
240.599,3.42,of you probably recognized that name
242.34,3.899,because it's like the most popular
244.019,4.681,solution for plotting or data
246.239,5.28,visualization in Python what is less
248.7,5.52,known however is that method lip is not
251.519,4.261,limited to simple static plots like the
254.22,3.78,ones you would create for a research
255.78,3.9,paper in fact it has some of the most
258.0,4.199,amazing animation capabilities
259.68,4.799,personally I find Matlock lip to be much
262.199,4.201,more intuitive compared to manim and
264.479,4.741,although it is more low level in a way
266.4,5.4,so that the same animation takes up more
269.22,4.56,lines of code it gives me much more
271.8,4.38,control and much more freedom over
273.78,4.74,manipulating individual elements on the
276.18,4.26,screen on a frame by frame basis so
278.52,4.739,nowadays whenever I need to create an
280.44,5.28,animation of a plot being drawn or
283.259,4.38,visualize some complex system beat an
285.72,4.259,icing model or an artificial neural
287.639,3.961,network I use Matlock lab further in the
289.979,4.381,video we will take a look at a few
291.6,4.86,examples of how exactly it is done one
294.36,4.44,thing that I still invariably do in many
296.46,4.14,however is these types of graph
298.8,4.619,animations this would certainly be
300.6,5.58,possible to recreate in matplotlib but
303.419,4.681,manim just has got such an amazing out
306.18,4.14,of the box solution for graph theory
308.1,5.099,that I can't ignore it within just a few
310.32,5.34,lines of code it is possible to draw a
313.199,4.741,graph object from Network X and make it
315.66,4.86,wiggle number three blender
317.94,4.86,unfortunately both After Effects and
320.52,4.5,python Solutions have very limited
322.8,4.44,capabilities of working with all three
325.02,5.459,dimensions so whenever I need to create
327.24,6.36,something in 3D B neurons mice running
330.479,5.581,in mazes or fancy surface plots I use
333.6,4.319,blender it is completely free and open
336.06,4.32,source but that doesn't make it less
337.919,5.461,powerful additionally blender has got an
340.38,4.74,amazing python API which means it is
343.38,4.68,possible to create some 3D
345.12,5.4,visualizations programmatically as well
348.06,4.979,these three pieces of software After
350.52,4.739,Effects Python and blender are the
353.039,4.081,backbone of my animation workflow but
355.259,4.021,there are a few other programs mostly
357.12,4.2,from the Adobe suite that I use every
359.28,3.9,now and then at different stages of
361.32,4.2,video production for example Adobe
363.18,4.56,Illustrator is my go-to Vector editor
365.52,4.44,when I need to draw something like a
367.74,4.2,simple asset or a diagram the good thing
369.96,4.62,about it is that it works seamlessly
371.94,5.039,with Adobe After Effects so I can use
374.58,4.86,Illustrator files to drive some
376.979,4.741,animations and whenever I need to change
379.44,4.14,the source in illustrator things will
381.72,4.62,automatically be updated in After
383.58,5.76,Effects as well Photoshop is mostly for
386.34,4.979,thumbnails and minor raster work like
389.34,4.799,separating a subject from a background
391.319,5.1,or color correcting by the way just like
394.139,4.981,illustrator Photoshop integrates nicely
396.419,4.741,with After Effects Adobe Premiere Pro
399.12,4.079,now although After Effects is certainly
401.16,4.62,good for animating it is virtually
403.199,4.44,unusable for classic video editing you
405.78,4.68,know like trimming Clips arranging them
407.639,4.56,in time adding sounds background music
410.46,3.78,stuff like that for this type of video
412.199,3.961,editing and usually at the final stage
414.24,4.26,and especially when I'm shooting with a
416.16,4.86,face camera I use Premiere and finally
418.5,5.46,Adobe Audition for all sorts of audio
421.02,5.519,work removing background noise enhancing
423.96,4.56,The Voice removing plosives and other
426.539,5.28,nasty things like breaths and mouth
428.52,5.64,sounds and that's pretty much it all the
431.819,4.801,software I use to make my videos now
434.16,4.56,let's be more specific and take a
436.62,4.44,detailed look at how some of the
