second,duration,transcript
0.05,8.04,"If you want to learn web development, where 
do you even start? It's hard to find the right  "
8.09,5.82,"advice without suffering from information overload.
That's why I've created this beginner's roadmap!  "
13.91,5.31,"it lays out all the basics you need to learn 
web development we're going to go through each  "
19.22,4.14,"step so by the end of this guide you'll have an 
understanding of the basics of web development and  "
23.36,9.21,"what skills you need to learn I recommend doing 
steps 1 2 & 3 in order then depending on whether  "
32.57,6.72,"you want to focus on more front-end or back-end 
you can do steps 4A or 4B. I personally think  "
39.29,3.78,"it's a good idea for front-end web developers to 
learn at least a little bit of back-end and vice  "
43.07,3.84,"versa knowing the basics of both will help 
you know if you like front-end or back-end  "
46.91,7.98,"web development better sound good let's dig deeper 
into the roadmap before you get into actual coding  "
54.89,5.19,"you'll need to understand some general concepts 
as you start your journey into web development how  "
60.08,7.62,"websites work the difference between front-end and 
back-end and using a code editor all websites at  "
67.7,4.74,"the most basic are just a bunch of files that are 
stored on a computer called a server this server  "
72.44,5.01,"is connected to the Internet you can then load 
that website through a browser like Chrome Firefox  "
77.45,5.55,"or Safari on your computer or on your phone 
your browser is also called the client in this  "
83.0,6.39,"situation so every time you're on the Internet 
you the client are loading data from the server  "
89.39,4.92,"as well as submitting data back to the server this 
back and forth between the client and the server  "
94.31,7.68,"is the basis of the internet web developer roles 
typically fall into three categories front end  "
101.99,6.9,"back end and full stack the terms front end back 
end and full stack web developer describe what  "
108.89,4.7,"part of the client-server relationship that you're 
working with fernand means that you're dealing  "
113.59,4.29,"mainly with the client-side it's called the front 
end because it's what you can see in the browser  "
117.88,5.49,"conversely the back end is the part of the website 
that you can't really see but it handles a lot of  "
123.37,5.67,"the logic and functionality that is necessary for 
everything to work one way you can think about  "
129.04,4.38,"this is that front-end web development is like 
the front-of-house part of a restaurant it's a  "
133.42,5.31,"section where customers come to see and experience 
the restaurant the interior decor seating and of  "
138.73,5.19,"course eating the food on the other hand back-end 
web development is like the back of house part of  "
143.92,4.98,"the restaurant it's where deliveries and inventory 
are managed and the process to create the food all  "
148.9,4.32,"happens there's a lot of things behind the scenes 
that the customers won't see they will experience  "
153.22,6.3,"and hopefully enjoy the end product a delicious 
meal fun illustrations aside both front-end and  "
159.52,5.97,"back-end web development serve different but very 
important functions when you build a website the  "
165.49,5.49,"most essential tool that you'll use is your code 
editor or IDE integrated development environment  "
170.98,5.1,"this tool allows you to write the markup and code 
that will make up the website there are quite a  "
176.08,6.09,"few good options out there but currently the most 
popular code editor is vs code vs code is a more  "
182.17,6.66,"lightweight version of Visual Studio Microsoft's 
main IDE it's fast free easy to use and you can  "
188.83,5.97,"customize it with themes and extensions other 
code editors are sublime text Adam and vim if  "
194.8,4.32,"you're just getting started though I'd recommend 
checking out vs code which you can download from  "
199.12,5.19,"their website now that we've covered some of the 
broader concepts of what web development is let's  "
204.31,5.67,"get into more of the details starting with the 
front end the front end of a website is made up  "
209.98,8.49,"of three types of files HTML CSS and JavaScript 
these files are what is loaded in the browser on  "
218.47,6.54,"a client-side HTML or hypertext markup language 
is the foundation of all websites it's the main  "
225.01,5.28,"file type that is loaded in your browser when you 
look at a web site the HTML file contains all the  "
230.29,5.91,"content on the page and it uses tags to denote 
different types of content for example you can use  "
236.2,11.69,"tags to create headline titles paragraphs bulleted 
lists images and so on HTML tags by themselves do  "
247.89,4.14,"have some Styles attached but they're pretty basic 
kind of like what you would see in a Word document  "
252.03,7.95,"CSS or cascading style sheets lets you style that 
HTML content so it looks nice and fancy you can  "
259.98,6.12,"add colors custom fonts and lay out the elements 
of your website however you want them to look  "
266.1,7.08,"you can even create animations and shapes with 
CSS there's a lot of depth to CSS and sometimes  "
273.18,5.16,"people tend to gloss over it so they can move 
on to things like JavaScript however it's really  "
278.34,7.14,"important to be able to convert a design into 
a front-end website layout using CSS javascript  "
285.48,4.47,"is a programming language that was designed to 
run in the browser using JavaScript you can make  "
289.95,5.76,"your website respond to different inputs from the 
user or other sources for example you can build a  "
295.71,4.41,"back to top button that when the user clicks it 
they'll scroll back up to the top of the page  "
300.12,7.41,"as we mentioned HTML CSS and JavaScript are the 
basic building blocks of front-end web development  "
307.53,6.42,"in addition to them there are a few other tools 
that you'll want to learn at this point package  "
313.95,5.04,"managers are online collections of software much 
of it open source each piece of software called  "
318.99,5.04,"a package is available for you to install and 
use in your own projects you can think about  "
324.03,4.5,"them like plugins instead of writing everything 
from scratch you can use helpful utilities that  "
328.53,4.74,"other people have written already for instance 
you can simply use a slider plug-in instead of  "
333.27,5.13,"having to code it all yourself which could take 
days to figure out why reinvent the wheel if you  "
338.4,6.75,"don't have to the most popular package manager is 
called NPM or node package manager you can also  "
345.15,4.68,"use another manager called yarn both are good 
options to know and use although it's probably  "
349.83,5.67,"best to start out with NPM in addition to package 
manager is you'll want to become familiar with  "
355.5,5.73,"build tools module bundlers and build tools are 
another essential part of the front-end workflow  "
361.23,6.81,"on a basic level these tools run tasks and process 
files you can use them to compile your sass files  "
368.04,6.39,"to CSS transpile your es6 javascript files down 
the es5 for better browser support run a local  "
374.43,4.68,"web server and many other helpful tasks saving 
you a ton of hassle if you were to try to do all  "
379.11,4.89,"these essential steps by yourself three tools 
that you'll continue to come across a lot are  "
384.0,6.45,"gulp web pack and parcel personally I like using 
gulp for my own front-end workflows where I just  "
390.45,5.85,"want to compile my sass and JavaScript files and 
not do too much else the last tool you'll need  "
396.3,5.82,"to learn about in this stage is version control 
version control also called source control is  "
402.12,3.9,"a system that keeps track of every code change 
that you make in your project files you can even  "
406.02,4.59,"revert to a previous chain if you make a mistake 
it's almost like having infinite save points for  "
410.61,5.97,"your projects and let me tell you it can be a huge 
lifesaver the most popular version control system  "
416.58,5.19,"is an open source system called git using git you 
can store all your files and then change history  "
421.77,5.91,"in collections called repositories you may also 
have heard of github which is an online hosting  "
427.68,7.14,"company owned by Microsoft where you can store 
all your git repositories at this point you've  "
434.82,3.57,"learned the basics of friend development and 
have a choice to either delve into additional  "
438.39,5.13,"friends skills or learn about basic backend web 
development with additional front-end there are  "
443.52,4.05,"some more intermediate skills that you will 
want to learn I recommend that you look at the  "
