second,duration,transcript
2.96,2.94,"Hi, I’m Carrie Anne, and welcome to Crash
Course Computer Science!"
5.9,5.18,"As we’ve touched on many times in this series,
computers are incredible at storing, organizing,"
11.08,2.429,fetching and processing huge volumes of data.
13.509,4.131,"That’s perfect for things like e-commerce
websites with millions of items for sale,"
17.64,3.12,"and for storing billions of health records
for quick access by doctors."
20.76,4.0,"But what if we want to use computers not just
to fetch and display data, but to actually"
24.76,2.03,make decisions about data?
26.79,4.48,"This is the essence of machine learning – algorithms
that give computers the ability to learn from"
31.27,2.86,"data, and then make predictions and decisions."
34.13,4.61,"Computer programs with this ability are extremely
useful in answering questions like Is an email"
38.74,0.5,spam?
39.24,1.84,Does a person’s heart have arrhythmia?
41.09,2.25,"What video should youtube recommend after
this one?"
43.35,3.24,"While useful, we probably wouldn’t describe
these programs as “intelligent” in the"
46.59,2.0,same way we think of human intelligence.
48.59,4.33,"So, even though the terms are often interchanged,
most computer scientists would say that machine"
52.92,4.451,"learning is a set of techniques that sits
inside the even more ambitious goal of Artificial"
57.38,1.96,"Intelligence, or AI for short."
59.34,8.98,INTRO
68.32,3.8,"Machine Learning and AI algorithms tend to
be pretty sophisticated."
72.12,3.98,"So rather than wading into the mechanics of
how they work, we're going to focus on what"
76.1,1.84,the algorithms do conceptually.
77.94,5.06,"Let’s start with a simple example: deciding
if a moth is a Luna Moth or an Emperor Moth."
83.009,4.03,"This decision process is called classification,
and an algorithm that does it is called a"
87.039,1.0,classifier.
88.039,3.19,"Although there are techniques that can use
raw data for training – like photos and"
91.229,4.771,"sounds – many algorithms reduce the complexity
of real world objects and phenomena into what"
96.0,1.38,are called features.
97.38,3.88,"Features are values that usefully characterize
the things we wish to classify."
101.26,3.98,"For our moth example, we’re going to use
two features: “wingspan” and “mass”."
105.24,3.809,"In order to train our machine learning classifier
to make good predictions, we’re going to"
109.049,1.39,need training data.
110.439,4.47,"To get that, we’d send an entomologist out
into a forest to collect data for both luna"
114.909,1.39,and emperor moths.
116.299,4.35,"These experts can recognize different moths,
so they not only record the feature values,"
120.649,2.83,"but also label that data with the actual moth
species."
123.479,1.771,This is called labeled data.
125.25,4.31,"Because we only have two features, it’s
easy to visualize this data in a scatterplot."
