second,duration,transcript
1.02,3.299,what is going on guys welcome back in
3.12,3.779,this video today we're going to learn
4.319,4.86,how to do parallel Computing using Cuda
6.899,4.681,which is nvidia's parallel Computing
9.179,4.821,platform and toolkit so let us get right
11.58,2.42,into it
16.1,3.309,[Music]
21.359,3.721,alright so Cuda is as I already
23.1,4.14,mentioned nvidia's parallel Computing
25.08,3.42,platform and it is super important in
27.24,3.06,machine learning because in machine
28.5,3.72,learning a lot of the tasks are actually
30.3,4.259,just linear algebra Matrix
32.22,5.16,multiplications Matrix operations Vector
34.559,5.461,operations things like that and Cuda is
37.38,3.9,optimized for exactly that and in this
40.02,2.96,video today I want to show you how it
41.28,4.56,works I want to give you a very simple
42.98,4.66,uh introduction example of a
45.84,3.42,parallelized Hello World which is not
47.64,3.36,very useful but you can see how it
49.26,3.18,basically works and then we're going to
51.0,4.26,implement something more advanced which
52.44,5.82,is a matrix Vector multiplication first
55.26,5.16,in core c and then in Cuda to see the
58.26,3.6,performance difference there now to get
60.42,3.54,started what you need is you need to
61.86,4.86,have Cuda and the Cuda toolkit installed
63.96,5.46,on your system the easiest way to do
66.72,4.8,that is to just follow the instructions
69.42,4.98,here in the documentation so you have
71.52,4.8,instructions for Linux you have
74.4,3.899,instructions for Windows and probably
76.32,3.839,also for Mac you will hopefully find all
78.299,3.0,three of them in the description down
80.159,3.78,below so you can just follow the
81.299,4.621,installation here I think though on
83.939,5.04,Linux it's quite simple at least if you
85.92,4.68,have the basic NVIDIA drivers installed
88.979,3.481,and of course you need to have an Nvidia
90.6,4.92,GPU for that you cannot do this with an
92.46,6.119,AMD GPU but I think if I just run this
95.52,5.099,command here I should be able to see
98.579,4.141,where I'm running the compiler from yeah
100.619,4.021,Nvidia Cuda toolkit so this is what you
102.72,3.48,have to install but if you want to make
104.64,3.119,sure everything works correctly just
106.2,3.599,follow the installation instructions
107.759,4.921,here now I need to mention that this
109.799,5.761,video is going to be quite advanced in
112.68,4.799,terms of it requires you to already have
115.56,3.019,some C knowledge it requires you to
117.479,3.78,already
118.579,4.421,no basic programming concept so this is
121.259,4.801,not an introduction video for someone
123.0,5.399,who is never coded in C never coded in C
126.06,3.899,plus plus or anything like that if you
128.399,3.781,only know python you can still watch
129.959,4.801,this to get some inspiration to see how
132.18,4.5,it works but don't expect to to
134.76,3.9,understand everything here because I'm
136.68,4.68,going to just use Concepts or apply
138.66,4.68,Concepts like malloc so allocation of
141.36,4.68,memory freeing memory and stuff like
143.34,4.5,that without explaining how it works and
146.04,4.86,why it needs to be done
147.84,4.619,so once you have everything set up we're
150.9,3.96,going to go into the directory that
152.459,4.86,we're going to be working in today so in
154.86,3.959,my case it's this one it says python
157.319,2.401,even though it's not going to be python
158.819,2.821,today
159.72,4.56,uh and we're going to start with a basic
161.64,6.48,hello world example so
164.28,6.539,Cuda is uh basically just C or C plus
168.12,5.339,plus code but it's actually Cuda code so
170.819,3.841,it's uh very similar the language is
173.459,2.881,almost the same but you have some
174.66,3.84,additional functions and data types and
176.34,5.179,stuff like that and we're going to start
178.5,6.42,now by creating a file called hello
181.519,5.141,underscore Cuda dot C but we're not
184.92,4.679,going to create a C file we're going to
186.66,5.4,create a CU file a CU file is
189.599,5.22,essentially a Cuda file instead of a
192.06,4.92,just core c file and here now we're
194.819,4.801,going to start by writing an ordinary
196.98,4.14,hello world program in C but then we're
199.62,3.96,going to change it so that it can be
201.12,5.839,parallelized with Cuda so we're going to
203.58,6.68,start by including
206.959,7.121,include and then we're going to include
210.26,7.5,stdio dot h and then we're going to
214.08,3.68,define a function hello world
218.28,5.28,and this function will just printf
223.92,6.0,hello world
226.019,7.94,or actually wanted to say hello Cuda
229.92,4.039,so let's call this hello Cuda
234.26,5.199,backslash n for line break and that is
237.659,4.381,basically the function then we have our
239.459,6.721,main function here which takes some
242.04,4.14,parameters Maybe rxc
246.239,7.681,and then also Arc B and then we have the
250.26,6.24,return zero at the end and then we call
253.92,6.24,our function hello Cuda
256.5,5.94,and that is basically our C program now
260.16,3.78,what we can do now in Cuda or maybe let
262.44,3.18,me show you that this actually works and
263.94,3.199,see for those of you who are not so
265.62,6.78,familiar with c
267.139,7.0,uh move this to this and now I can just
272.4,5.04,compile it and the ordinary way to
274.139,5.28,compile a c uh program is to say GCC or
277.44,6.36,whatever compiler you want to use hello
279.419,6.961,Cuda and then hello Cuda is the output
283.8,4.8,and then I can just run Helen Cuda
286.38,4.86,so this is an ordinary C program now now
288.6,4.68,let's move it back to
291.24,4.62,a Cuda file
293.28,5.22,let's go into it and change the code so
295.86,3.3,that it can be parallelized
298.5,2.759,um
299.16,4.14,and what we're going to do here is we're
301.259,4.141,going to make this void function here
303.3,3.72,we're going to make it a global function
305.4,3.54,so global
307.02,4.619,underscore underscore Global underscore
308.94,4.319,underscore void hello Cuda and then when
311.639,4.321,we call this function we're going to
313.259,5.101,actually specify three angle brackets
315.96,4.739,opening and closing and in here we're
318.36,4.679,going to specify the grid shape and the
320.699,5.28,block shape the basic idea of Cuda is
323.039,4.921,that you have multiple blocks that are
325.979,4.141,aligned in a grid and then you have in
327.96,5.22,those blocks multiple threads now maybe
330.12,4.919,I can give you again a not so good
333.18,4.44,visualization here I'm only going to use
335.039,4.861,my mouse so this is not going to look uh
337.62,4.68,too great but you have basically a grid
339.9,4.92,in your GPU you can say
342.3,4.56,uh and in this grid you have different
344.82,4.319,blocks so we can maybe split this up if
346.86,4.619,this is now two by two
349.139,5.521,so we have this two by two grid we have
351.479,7.081,block zero zero we have block
354.66,7.979,uh zero one we have block one zero and
358.56,8.34,we have block one one now those blocks
362.639,7.62,themselves contain threats so these
366.9,4.799,different blocks are again split up here
370.259,4.021,um maybe we should use a different color
371.699,4.44,for this they have a structure
374.28,4.08,themselves so maybe the block itself is
376.139,4.5,also a two by two block every single
378.36,5.88,block is a two by two block and in those
380.639,6.241,blocks we have now the threat 0 0 and
384.24,4.98,then zero one and one zero and one one
386.88,4.14,and we have the same everywhere so zero
389.22,4.919,zero zero one
391.02,4.98,one zero one one in all these blocks we
394.139,4.741,have threats and they can have whatever
396.0,5.16,shape you want now I'm going to explain
398.88,3.9,why this is useful later on for now it's
401.16,3.72,not really useful for now it's just
402.78,3.84,something that we need to know and I'm
404.88,5.34,going to now specify that I want to have
406.62,6.9,uh one block and one thread in this
410.22,5.28,block so this would be one one
413.52,3.84,um and what we can do now is we can
415.5,5.34,compile this but we can compile this
417.36,8.399,with uh the Nvidia compiler so with the
420.84,7.979,Cuda compiler nvcc hello Cuda dot CU and
425.759,4.861,then we can say output hello Cuda
428.819,4.32,and now when I run this we will see
430.62,4.38,everything is oh actually I forgot
433.139,4.741,something important to actually see the
435.0,6.5,output we need to call a function which
437.88,6.24,is Cuda device
441.5,4.599,synchronize to actually get the output
444.12,3.419,here as well
446.099,3.181,because otherwise everything is
447.539,2.88,happening on the device so we compile
449.28,3.479,again
450.419,3.361,we run again and we can see Hello Cuda
452.759,3.66,here
453.78,4.74,so that's quite simple now I can also
456.419,5.701,say I want to have
458.52,5.34,two blocks with one thread each this
462.12,5.16,would also work but then you can see
463.86,7.02,what happens is I run this two times
467.28,5.4,and I can then change this again and I
470.88,3.599,can say I want to have basically I can
472.68,3.54,say either two blocks in one thread I
474.479,3.12,can also say one block with two threads
476.22,3.3,the result would be the same in this
477.599,4.081,case I can also say I want to have two
479.52,5.84,blocks and two threads
481.68,3.68,so in this case I would get
485.759,5.88,four times hello Cuda that's the basic
488.639,5.101,idea of how this works now why is this
491.639,4.321,important why is this useful we can
493.74,4.26,access inside of this function here
495.96,3.72,certain values and I'm going to print
498.0,4.199,them here for you so that you can see
499.68,4.739,how this works we can have a block index
502.199,4.56,X
504.419,5.941,which is going to be a number we can
506.759,5.941,have a block index Y which is also going
510.36,4.38,to be a number we can have a threat
512.7,3.899,index X
514.74,4.679,which is also going to be a number and
516.599,5.701,we can have a threat index y obviously
519.419,6.54,which is again also going to be a number
522.3,6.479,and let's add a backslash n here
525.959,9.121,we can just get these values by
528.779,12.0,accessing block idx dot X lock idx dot y
535.08,7.8,threat idx dot X and threat idx dot Y
540.779,4.981,and those are important because
542.88,5.22,basically what we can do now is we can
545.76,4.8,compile we can run
548.1,4.679,and due to the shape that I provided we
550.56,3.719,only have X values because I said I want
552.779,3.541,to have two blocks and I didn't say I
554.279,4.021,want to have uh two times two blocks
556.32,4.079,with two times two threads I just have
558.3,4.2,two blocks two threads so we're only
560.399,5.761,using the x-axis but you can see that
562.5,5.94,every time uh the GPU runs the code it
566.16,4.98,runs it on a certain block and on a
568.44,5.88,certain thread so we have block zero
571.14,5.879,thread one block zero thread zero and so
574.32,6.24,on and so forth which means that if I
577.019,5.521,can say certain blocks of the GPU are
580.56,4.68,responsible for certain blocks of a
582.54,4.859,matrix calculation this is very
585.24,4.98,compatible because a matrix has a
587.399,5.521,certain uh shape a certain grit shape
590.22,4.52,and the GPU has a certain grid shape and
592.92,4.56,then I can just
594.74,5.02,parallelize the operations in this grit
597.48,4.62,shape sort of way so this is what we're
599.76,3.9,going to do now with a matrix Vector
602.1,3.54,multiplication and we're going to start
603.66,5.04,by implementing this Matrix Vector
605.64,4.74,multiplication in core c so to can
608.7,3.48,follow the thought process if you're not
610.38,4.86,familiar with Cuda and then we're going
612.18,5.4,to do the same thing in Cuda so that we
615.24,4.8,can see what changes and we can see also
617.58,4.08,why it is faster so I'm going to start
620.04,6.299,here in new file which is going to be
621.66,7.98,Matrix underscore Vector dot C
626.339,5.341,and this file here what we're going to
629.64,4.46,do is we're going to import so we're
631.68,3.06,going to include
634.1,2.58,[Music]
634.74,5.219,um
636.68,4.719,stdio.h by the way excuse my slow typing
639.959,3.601,I'm still getting used to my new
641.399,4.38,keyboard I change the layout
643.56,4.98,so I'm typing a little bit slower than
645.779,5.521,usual but we import these two uh
648.54,6.479,libraries here and then we say void
651.3,3.719,Matrix vector
655.079,5.641,uh product let's say
658.44,4.98,and what we want to get here as an input
660.72,4.799,is we want to have first of all a flow a
663.42,4.38,float pointer
665.519,4.861,to a matrix a
667.8,5.279,want to have a float pointer to a matrix
670.38,6.0,V to a vector V1
673.079,5.161,and to a vector V2
676.38,4.5,and want to have the Matrix size which
678.24,5.76,is going to be an integer the basic idea
680.88,7.38,is that we're going to have
684.0,5.82,an N by n Matrix an n-sized Vector we're
688.26,4.8,going to multiply the two and we're
689.82,6.959,going to store the result in an N sized
693.06,6.18,vector vector 2. again I'm not going to
696.779,4.201,explain basic uh Matrix Vector
699.24,4.2,multiplication I'm not going to explain
700.98,4.62,what a pointer is I expect you to either
703.44,4.68,know that or to not care about it if you
705.6,4.02,watch this video
708.12,2.94,um so we're going to Define this
709.62,3.0,function now and we're going to do it in
711.06,3.839,a very simple way we're going to have a
712.62,8.04,loop and I
714.899,8.581,from 0 I being less than the Matrix size
720.66,4.679,and then I plus plus so we're basically
723.48,3.479,just going
725.339,4.5,through the rows
726.959,4.261,so we're going through row 0 1 2 3 and
729.839,3.18,so on
731.22,3.54,and in there what we want to do is we
733.019,4.32,want to have we want to keep track of a
734.76,5.54,sum which starts at zero and then we're
737.339,6.721,going to go through the columns
740.3,6.219,int J equals zero
744.06,4.32,J less than Matrix size we can do this
746.519,3.921,again here because
748.38,2.06,um
750.899,4.741,because we have an N by n Matrix so the
753.48,4.38,Matrix size is going to be the size of
755.64,5.4,the row or the the amount of rows and
757.86,5.36,the amount of columns and then J plus
761.04,2.18,plus
763.26,5.1,and all we want to do now basically is
765.3,5.52,we want to say sum plus equals and we
768.36,4.32,want to add whatever the value or we
770.82,4.62,want to multiply whatever the value is
772.68,5.399,at the current position so we take I the
775.44,4.56,current row but we take it times The
778.079,3.901,Matrix size because we want to go
780.0,3.72,through the
781.98,3.96,um so basically if you're the second row
783.72,4.2,you want to not just go with two you
785.94,3.78,want to go with
787.92,3.659,um because we don't have a
789.72,3.54,multi-dimensional array here we have a
791.579,4.681,long array we have the flattened version
793.26,5.22,of The Matrix basically and because of
