second,duration,transcript
0.43,4.17,each year microsoft research helps
2.98,3.24,hundreds of influential speakers from
4.6,3.48,around the world including leading
6.22,3.84,scientists renowned experts in
8.08,3.9,technology book authors and leading
10.06,4.88,academics and makes videos of these
11.98,2.96,lectures freely available
22.05,8.41,um this is kind of a strange talk for me
27.25,4.35,to give two years ago I've done a lot of
30.46,3.39,things that Microsoft had been here a
31.6,5.19,long time and two years ago I got asked
33.85,4.68,to join the quantum computing effort and
36.79,4.38,I thought that in itself was kind of
38.53,3.959,strange because I'm not a researcher I'm
41.17,4.41,not a physicist I'm not a mathematician
42.489,5.191,I ship products you know I built a lot
45.58,4.92,of stuff and I write code I'm an
47.68,4.559,architect and wasn't quite sure what I
50.5,4.65,would do so I started looking around and
52.239,4.231,the first thing I look for tools I build
55.15,3.119,tools I try to make people more
56.47,4.439,productive and I started looking around
58.269,5.881,this whole field at what tools were
60.909,4.5,available and the answer was none there
64.15,2.67,was basically nothing out there
65.409,3.811,everybody would write what they needed
66.82,5.97,for their thesis get it done ship it and
69.22,6.0,throw it away so I started building a
72.79,4.41,platform and then I went around talking
75.22,3.509,to all the top names in the field what
77.2,3.9,would they do with a quantum computer if
78.729,4.741,they actually had one and it gave him
81.1,4.38,some sizes gave him some reason ille
83.47,4.53,technology and they all had things they
85.48,4.05,would do some pretty surprising but none
88.0,3.54,of them had an idea of how they would do
89.53,3.69,it so they knew they had problems to
91.54,4.8,solve but no one really had ways of
93.22,6.42,doing it so this talk is about trying to
96.34,6.36,fill some of that void it's a tool that
99.64,5.1,we've built that is evolving that we've
102.7,4.56,done some things further than anyone
104.74,4.35,else has ever done in the field I've
107.26,3.36,thrown back some slides that I've been
109.09,3.81,haven't used for the rest of this trip
110.62,4.53,because there's the first computer
112.9,3.509,science based group I've talked to
115.15,3.03,they've all been mathematicians and
116.409,3.181,experimental physicists and theoretical
118.18,3.66,physicists and I get to put some comp
119.59,4.35,side back in so hopefully some of those
121.84,7.679,slides will be interesting to the
123.94,7.17,audience but liquid is designed so that
129.519,5.761,we can create a simulation environment
131.11,6.15,um to make it easy to really complicated
135.28,6.35,quantum circuits and you'll see how
137.26,6.47,complicated in a little bit efficiency
141.63,4.02,a real problem if I could do quantum
143.73,5.25,simulation easily I would need a quantum
145.65,4.8,computer so how big can you go what can
148.98,2.94,you do on conventional hardware and how
150.45,2.97,efficient can you be and actually those
151.92,5.25,are the slides I threw back in to give
153.42,5.31,an idea of how hard that is circuits
157.17,4.41,have to retarget about for many purposes
158.73,4.23,um what I did is started in the middle
161.58,3.18,pretty much how you would for
162.96,4.29,conventional computer science I started
164.76,5.46,with an abstract idea of what a quantum
167.25,6.71,computer is logic gates that level and
170.22,6.39,then work my way up into circuits into
173.96,4.24,if you will assembly code equivalence
176.61,3.09,going up and find that we hit a language
178.2,3.6,at the top that you can actually express
179.7,4.59,in and compile down into that abstract
181.8,4.08,model we did that first now we're going
184.29,5.1,the other way from the abstract model
185.88,5.82,down into target hardware so noise what
189.39,4.17,things fall apart communications
191.7,3.45,limitations only certain things can talk
193.56,3.45,to certain things how do you compile
195.15,3.84,down into that how do you optimize for
197.01,5.21,actual experiments you're going to do in
198.99,6.42,the lab and machines are going to build
202.22,5.86,it turns out there's different ways you
205.41,4.74,can attack this because again you can't
208.08,4.44,do it all on conventional machine you
210.15,5.1,can pick specific things you're good at
212.52,6.36,you can be good at noise you can be good
215.25,4.74,at physical modeling you can be good at
218.88,2.79,circuit modeling so we've built
219.99,3.3,different simulators that all plug into
221.67,3.21,the same environment so you can write it
223.29,3.66,once and then run two different
224.88,5.04,simulations and trade things off and
226.95,4.92,then flexibility I'm an architect I like
229.92,3.87,platforms so how do you make it so you
231.87,3.96,can plug in your own modules change the
233.79,3.87,definitions extend this over time I
235.83,4.379,don't like things that are right and get
237.66,5.48,thrown away six months later so let's
240.209,10.771,talk about the platform itself yes
243.14,11.71,simulating go away how far away is the
250.98,5.129,real computer the one time where's about
254.85,3.72,we're going to talk a little bit about
256.109,4.231,one we can buy today okay so we're not
258.57,3.84,that far away in terms of what people
260.34,4.23,will tell you is a quantum computer and
262.41,5.27,the question is it is a paper that just
264.57,5.37,came out that we just did but
267.68,4.84,realistically to a real universal
269.94,5.1,quantum computer minimum 10 probably
272.52,3.0,closer to 20 years that's about the time
275.04,2.15,frame
275.52,4.519,talking about now pieces already exist
277.19,5.68,experiments exist demonstrations exist
280.039,4.241,but the real thing that lets say i put
282.87,3.509,up in the cloud you're going to connect
284.28,4.8,with azure and use it as a service and
286.379,6.151,run you know big simulations on 10 years
289.08,5.28,minimum the yuhl/goel here is the by the
292.53,3.419,time of their lives we want to be ready
294.36,3.63,to program well plus I need to program
295.949,3.84,it so I'd use this as the front end to
297.99,3.75,program it that's why there's the back
299.789,3.361,end right so by time you get used to
301.74,4.5,running the simulation you could also
303.15,5.16,instead target the real machine so we're
306.24,3.6,gonna start with the language I spoke to
308.31,3.81,don last night he said you've got to
309.84,3.87,push f sharp gotta push after Don always
312.12,5.76,says I've got to push so I've got my F
313.71,5.639,sharp mug here I'm one of the few people
317.88,3.529,he has to tell that to I've been using
319.349,5.1,since before it was version one
321.409,5.5,everything I've written in the last many
324.449,4.111,years has been in f-sharp and I'm a
326.909,4.32,functional programmer from way way back
328.56,4.74,so preaching to the choir here but I'll
331.229,4.051,show you why it's good why it works well
333.3,4.829,this is also why its language embedded
335.28,5.31,quantum operations think link this is a
338.129,3.811,monad that's been implemented inside of
340.59,4.079,the language and we've extended the
341.94,5.699,language in some nice ways but again
344.669,4.711,it's a dotnet language so you can come
347.639,3.241,it well it for F sharp can come from
349.38,2.879,scripting level in fact you don't have
350.88,3.36,to compile anything the whole thing
352.259,4.141,would be run from scripts which means we
354.24,4.44,can put this service you can just submit
356.4,3.69,the script you can come from C sharp or
358.68,3.359,any other language that can link with
360.09,4.319,the library so the whole thing is
362.039,4.891,contained in a library you can get to it
364.409,4.171,from any language you like it's just for
366.93,4.82,me the most natural and basically
368.58,6.179,designed for F sharp as the top level
371.75,5.77,everything compiles into gates when you
374.759,5.25,see gates think function so everything
377.52,3.929,has a definition a logical gate is just
380.009,3.75,you know a function that implements an
381.449,4.71,and or an oar or specific quantum gates
383.759,4.321,that we're going to talk about once this
386.159,3.69,all gets compiled it's gets sent to
388.08,4.47,simulators we have three simulators
389.849,4.741,currently the first is a universal
392.55,4.53,simulator this will do anything any
394.59,5.579,quantum computer we might build will do
397.08,6.269,but it comes at a price you can only do
400.169,7.071,on a typical 32 gigabyte laptop about
403.349,6.031,thirty cubits it's 2 to the 30th just
407.24,4.54,complex numbers to store
409.38,4.44,and then you have to operate on that so
411.78,4.8,you do the math you actually do pretty
413.82,5.13,well fitting into 32 gigabytes you want
416.58,5.18,another cubit double the memory you know
418.95,4.74,the cubit double the memory so i have a
421.76,4.57,simulation running right now this we're
423.69,4.23,going for 16 days that's running in a 96
426.33,4.05,gigabyte machine and that's nowhere near
427.92,5.01,big enough we actually have a bunch of
430.38,4.85,machines ordered that are a terabyte to
432.93,4.5,do a lot of the problems we want to do
435.23,4.09,but there's another way to go don't make
437.43,4.29,it universal get rid of a lot of the
439.32,6.27,gates that make it that complex to
441.72,5.49,simulate and there's a version of us of
445.59,3.66,the simulator uses only Clifford group
447.21,4.77,operations don't have to worry what that
449.25,4.8,is but they're called stabilizers the
451.98,5.55,interesting part is every quantum error
454.05,5.88,correction code only uses stabilizers so
457.53,4.92,you can do research into very
459.93,4.59,sophisticated quantum error correction
462.45,4.23,we'll talk about that a little later but
464.52,5.01,I can do tens of thousands of qubits as
466.68,3.96,soon as I don't make it Universal so
469.53,2.76,this is where you can trade off the
470.64,3.45,number of qubits versus the operations
472.29,3.87,you're allowed and then there's a
474.09,5.13,Hamiltonian simulator this lets you do
476.16,4.53,actual physics and it turns out a lot of
479.22,4.08,the types of machines we're talking
480.69,4.35,about depend very much on the actual
483.3,3.84,physics you can't just abstract it away
485.04,3.51,and are times you don't want to there
487.14,3.12,are things problems you'd like to set up
488.55,3.93,especially in machine learning that
490.26,4.65,require the actual hamiltonians again
492.48,4.8,this is universal again takes about
494.91,4.77,thirty cubits in 32 gigabytes but it's
497.28,4.32,slow so now you've traded off from the
499.68,4.17,universal to make it more physically
501.6,4.23,accurate now you have to run much slower
503.85,4.59,because you have to fix up all the
505.83,4.2,problems of basically doing a
508.44,8.13,differential equation that you're
510.03,8.34,solving along the way it buys you
516.57,3.09,physical modeling so for instance I can
518.37,3.33,actually do time derivatives I can
519.66,3.569,actually watch the times I actually say
521.7,3.9,spin glass problems we can do some of
523.229,4.741,these where I actually have to be
525.6,3.48,flipping key i'm doing a kneeling and to
527.97,2.97,do a kneeling up the drill to drop a
529.08,4.08,temperature and to drop the temperature
530.94,5.13,i have to actually do not each gate but
533.16,4.77,between each the the interactions
536.07,4.269,between all the gates over time as we go
537.93,5.98,from gate to gate
540.339,6.331,most physical simulation of the machine
543.91,4.109,yes but that doesn't change the appt
546.67,3.63,with each other well no it's not too I
548.019,3.961,the way no no if I'm doing annealing
550.3,2.969,right when you do a kneeling do similar
551.98,4.079,to kneeling on a regular classical
553.269,4.26,machine you have to break it up to do
556.059,3.27,time simulation right you're actually
557.529,3.18,going that's what the Hamiltonian will
559.329,3.81,do as opposed to saying if I just went
560.709,3.93,from here at a to be I lose all the
563.139,8.07,dynamics in between I won't get the
564.639,8.971,right answer right is doing the voltage
571.209,4.92,is actually different problem in coding
573.61,3.87,completely right and so we actually have
576.129,3.721,different ways of looking the problem
577.48,4.079,and liquid will let you write it once
579.85,5.179,and then send it to different ones and
581.559,8.88,see how they operate and how they work
585.029,6.641,yep whatever you'd like to define if you
590.439,3.421,know the physics you're doing a Trotter
591.67,4.05,ization and you get to pick the Trotter
593.86,4.32,number so if you want a thousand twenty
595.72,5.13,four steps between each and you want to
598.18,4.5,do the problem is I don't want to go too
600.85,4.469,far down this track but and we can do it
602.68,4.68,offline but the problem is the terms
605.319,3.81,that are in this equation aren't
607.36,3.959,commutative and you don't know what
609.129,3.481,order you actually have to have to
611.319,3.21,compute them in because they really want
612.61,4.409,to all be done in parallel so you have
614.529,4.53,to do is do five enough time steps to
617.019,3.48,get rid of the come utility the anti-com
619.059,3.57,you tivity problems and that's the
620.499,3.51,Trotter ization so by picking a finer
622.629,3.781,and finer cauterization get a more
624.009,3.93,accurate answer but each one is x is
626.41,3.06,twice as slow every time you had a
627.939,3.15,charter number it's twice as slow so
629.47,3.719,everything in this game is exponential
631.089,3.3,and you have to trade off very carefully
633.189,5.13,because things can take literally
634.389,5.82,forever run time so have 31 times
638.319,6.091,currently the client runtime this will
640.209,6.511,run on your laptop your desktop you just
644.41,6.179,bring it up put it in the script or
646.72,7.529,write the code it works service it's a
650.589,5.49,virus on purpose you sit there here in
